# Nuitka runtime helpers ranked by call frequency
# (aliases are used in per-module .disasm.txt files)
# Rank  CallCount  Alias                     Address

     0        489  RUNTIME_HELPER_00_x9210   0x1479C9210
     1        408  RUNTIME_HELPER_01_xbb60   0x147A0BB60
     2        379  RUNTIME_HELPER_02_x2090   0x1479D2090
     3        330  RUNTIME_HELPER_03_x1dd0   0x1479D1DD0
     4        312  RUNTIME_HELPER_04_x5ed0   0x1479C5ED0
     5        173  RUNTIME_HELPER_05_x0170   0x1479E0170
     6        171  RUNTIME_HELPER_06_xe200   0x1479FE200
     7        157  RUNTIME_HELPER_07_x46e0   0x147A146E0
     8        146  RUNTIME_HELPER_08_x0330   0x1479F0330
     9        127  RUNTIME_HELPER_09_x0c80   0x147A40C80
    10        120  RUNTIME_HELPER_10_xf730   0x147A3F730
    11        120  RUNTIME_HELPER_11_xf6f0   0x147A3F6F0
    12        120  RUNTIME_HELPER_12_xbdb0   0x1479FBDB0
    13         86  RUNTIME_HELPER_13_xdba0   0x1479FDBA0
    14         82  RUNTIME_HELPER_14_x6310   0x1479F6310
    15         76  RUNTIME_HELPER_15_x4680   0x1479F4680
    16         62  RUNTIME_HELPER_16_x1a60   0x1479D1A60
    17         60  RUNTIME_HELPER_17_x83d0   0x147A083D0
    18         40  RUNTIME_HELPER_18_x61e0   0x147A061E0
    19         40  RUNTIME_HELPER_19_x4380   0x1479F4380
    20         38  helper_020_0x1479FE320    0x1479FE320
    21         37  helper_021_0x1479FE440    0x1479FE440
    22         37  helper_022_0x142F75D10    0x142F75D10
    23         33  helper_023_0x142EDC6F0    0x142EDC6F0
    24         30  helper_024_0x1479FDFC0    0x1479FDFC0
    25         24  helper_025_0x142F26600    0x142F26600
    26         24  helper_026_0x142F768C0    0x142F768C0
    27         21  helper_027_0x147A00000    0x147A00000
    28         19  helper_028_0x1479F2D00    0x1479F2D00
    29         19  helper_029_0x1479EFDB0    0x1479EFDB0
    30         18  helper_030_0x142DBECD0    0x142DBECD0
    31         18  helper_031_0x147A09850    0x147A09850
    32         18  helper_032_0x142F26340    0x142F26340
    33         18  helper_033_0x1430DCCC0    0x1430DCCC0
    34         17  helper_034_0x142DBE7A0    0x142DBE7A0
    35         17  helper_035_0x1479F6D40    0x1479F6D40
    36         15  helper_036_0x143048840    0x143048840
    37         14  helper_037_0x142D312F0    0x142D312F0
    38         14  helper_038_0x143028870    0x143028870
    39         14  helper_039_0x1430DC6D0    0x1430DC6D0
    40         14  helper_040_0x14334B820    0x14334B820
    41         13  helper_041_0x142DAD500    0x142DAD500
    42         13  helper_042_0x142EFFB80    0x142EFFB80
    43         13  helper_043_0x1430792D0    0x1430792D0
    44         13  helper_044_0x143112F00    0x143112F00
    45         13  helper_045_0x1432E7690    0x1432E7690
    46         13  helper_046_0x143321210    0x143321210
    47         12  helper_047_0x142D6FE70    0x142D6FE70
    48         12  helper_048_0x142DBDDA0    0x142DBDDA0
    49         12  helper_049_0x142E23170    0x142E23170
    50         12  helper_050_0x142E621F0    0x142E621F0
    51         12  helper_051_0x142E803C0    0x142E803C0
    52         12  helper_052_0x142F35470    0x142F35470
    53         12  helper_053_0x142F49750    0x142F49750
    54         12  helper_054_0x142F59FE0    0x142F59FE0
    55         12  helper_055_0x142F931F0    0x142F931F0
    56         12  helper_056_0x143268370    0x143268370
    57         12  helper_057_0x1432CCF50    0x1432CCF50
    58         12  helper_058_0x143312910    0x143312910
    59         11  helper_059_0x142CFC170    0x142CFC170
    60         11  helper_060_0x142D1EC10    0x142D1EC10
    61         11  helper_061_0x142DBEAE0    0x142DBEAE0
    62         11  helper_062_0x142EDC510    0x142EDC510
    63         11  helper_063_0x142ED7E00    0x142ED7E00
    64         11  helper_064_0x142FD1A30    0x142FD1A30
    65         11  helper_065_0x142FFF550    0x142FFF550
    66         11  helper_066_0x143016980    0x143016980
    67         11  helper_067_0x1430E6490    0x1430E6490
    68         11  helper_068_0x143137580    0x143137580
    69         11  helper_069_0x143282C30    0x143282C30
    70         11  helper_070_0x1432A7560    0x1432A7560
    71         11  helper_071_0x143331BF0    0x143331BF0
    72         10  helper_072_0x142CD7BF0    0x142CD7BF0
    73         10  helper_073_0x142DC3DA0    0x142DC3DA0
    74         10  helper_074_0x142F26530    0x142F26530
    75         10  helper_075_0x142FBAF60    0x142FBAF60
    76         10  helper_076_0x143028610    0x143028610
    77         10  helper_077_0x143168C20    0x143168C20
    78         10  helper_078_0x143168F90    0x143168F90
    79         10  helper_079_0x143282B60    0x143282B60
    80         10  helper_080_0x1432B72C0    0x1432B72C0
    81         10  helper_081_0x1432E7430    0x1432E7430
    82          9  helper_082_0x142CD7880    0x142CD7880
    83          9  helper_083_0x142EDBE10    0x142EDBE10
    84          9  helper_084_0x142ECE710    0x142ECE710
    85          9  helper_085_0x1479FBF30    0x1479FBF30
    86          9  helper_086_0x1479C5E30    0x1479C5E30
    87          9  helper_087_0x142F494F0    0x142F494F0
    88          9  helper_088_0x142F92F90    0x142F92F90
    89          9  helper_089_0x142FB3D20    0x142FB3D20
    90          9  helper_090_0x142FD17D0    0x142FD17D0
    91          9  helper_091_0x143137210    0x143137210
    92          9  helper_092_0x143255160    0x143255160
    93          9  helper_093_0x14334B750    0x14334B750
    94          8  helper_094_0x142D0DAE0    0x142D0DAE0
    95          8  helper_095_0x142D1EB40    0x142D1EB40
    96          8  helper_096_0x142D57AA0    0x142D57AA0
    97          8  helper_097_0x142D61720    0x142D61720
    98          8  helper_098_0x142D617F0    0x142D617F0
    99          8  helper_099_0x142D65EC0    0x142D65EC0
   100          8  helper_100_0x142D6FB00    0x142D6FB00
   101          8  helper_101_0x142D8BAD0    0x142D8BAD0
   102          8  helper_102_0x142DC3A30    0x142DC3A30
   103          8  helper_103_0x142DF0350    0x142DF0350
   104          8  helper_104_0x142E61F90    0x142E61F90
   105          8  helper_105_0x142E80160    0x142E80160
   106          8  helper_106_0x142EC5BD0    0x142EC5BD0
   107          8  helper_107_0x1479C5E40    0x1479C5E40
   108          8  helper_108_0x142F2DAC0    0x142F2DAC0
   109          8  helper_109_0x142F75C00    0x142F75C00
   110          8  helper_110_0x142FBAE90    0x142FBAE90
   111          8  helper_111_0x143078F60    0x143078F60
   112          8  helper_112_0x143112B90    0x143112B90
   113          8  helper_113_0x1431C5010    0x1431C5010
   114          8  helper_114_0x1432682A0    0x1432682A0
   115          8  helper_115_0x143277F60    0x143277F60
   116          8  helper_116_0x14327F950    0x14327F950
   117          8  helper_117_0x14329DCB0    0x14329DCB0
   118          8  helper_118_0x1432A2410    0x1432A2410
   119          8  helper_119_0x1432A7300    0x1432A7300
   120          8  helper_120_0x1432B9810    0x1432B9810
   121          8  helper_121_0x1432CCCF0    0x1432CCCF0
   122          8  helper_122_0x14330F6F0    0x14330F6F0
   123          8  helper_123_0x1433318C0    0x1433318C0
   124          8  helper_124_0x143348390    0x143348390
   125          7  helper_125_0x1440A8130    0x1440A8130
   126          7  helper_126_0x142CFBF10    0x142CFBF10
   127          7  helper_127_0x142D31090    0x142D31090
   128          7  helper_128_0x142D96D30    0x142D96D30
   129          7  helper_129_0x142DAD430    0x142DAD430
   130          7  helper_130_0x142DBEA10    0x142DBEA10
   131          7  helper_131_0x142E0C250    0x142E0C250
   132          7  helper_132_0x142E08E70    0x142E08E70
   133          7  helper_133_0x142E0E1B0    0x142E0E1B0
   134          7  helper_134_0x142E10EC0    0x142E10EC0
   135          7  helper_135_0x142E1CE70    0x142E1CE70
   136          7  helper_136_0x142E22F10    0x142E22F10
   137          7  helper_137_0x142EB2610    0x142EB2610
   138          7  helper_138_0x142EFFAB0    0x142EFFAB0
   139          7  helper_139_0x142F56D60    0x142F56D60
   140          7  helper_140_0x142F35210    0x142F35210
   141          7  helper_141_0x142F59D80    0x142F59D80
   142          7  helper_142_0x142F76660    0x142F76660
   143          7  helper_143_0x142FC4500    0x142FC4500
   144          7  helper_144_0x142FF1130    0x142FF1130
   145          7  helper_145_0x142FFF2F0    0x142FFF2F0
   146          7  helper_146_0x1430485E0    0x1430485E0
   147          7  helper_147_0x143057630    0x143057630
   148          7  helper_148_0x14305B510    0x14305B510
   149          7  helper_149_0x14305F300    0x14305F300
   150          7  helper_150_0x1430621C0    0x1430621C0
   151          7  helper_151_0x1430B3630    0x1430B3630
   152          7  helper_152_0x1430D5F40    0x1430D5F40
   153          7  helper_153_0x1430E6230    0x1430E6230
   154          7  helper_154_0x14319EB20    0x14319EB20
   155          7  helper_155_0x1431EBC60    0x1431EBC60
   156          7  helper_156_0x143277E90    0x143277E90
   157          7  helper_157_0x14327FA20    0x14327FA20
   158          7  helper_158_0x143290C30    0x143290C30
   159          7  helper_159_0x1432B7390    0x1432B7390
   160          7  helper_160_0x1432B98E0    0x1432B98E0
   161          7  helper_161_0x1432BCEA0    0x1432BCEA0
   162          7  helper_162_0x14330D2B0    0x14330D2B0
   163          7  helper_163_0x143312730    0x143312730
   164          7  helper_164_0x1433480A0    0x1433480A0
   165          6  helper_165_0x142CF9930    0x142CF9930
   166          6  helper_166_0x142D2E760    0x142D2E760
   167          6  helper_167_0x142D53570    0x142D53570
   168          6  helper_168_0x142D96F10    0x142D96F10
   169          6  helper_169_0x1479FE020    0x1479FE020
   170          6  helper_170_0x142E0C180    0x142E0C180
   171          6  helper_171_0x142E5F540    0x142E5F540
   172          6  helper_172_0x1479FE380    0x1479FE380
   173          6  helper_173_0x142ECE7E0    0x142ECE7E0
   174          6  helper_174_0x1479E02D0    0x1479E02D0
   175          6  helper_175_0x142EF72B0    0x142EF72B0
   176          6  helper_176_0x142F714E0    0x142F714E0
   177          6  helper_177_0x142F726A0    0x142F726A0
   178          6  helper_178_0x142F85730    0x142F85730
   179          6  helper_179_0x142F8ACF0    0x142F8ACF0
   180          6  helper_180_0x142F8ADC0    0x142F8ADC0
   181          6  helper_181_0x142F8D1C0    0x142F8D1C0
   182          6  helper_182_0x142FB3C50    0x142FB3C50
   183          6  helper_183_0x142FB90E0    0x142FB90E0
   184          6  helper_184_0x142FC2BE0    0x142FC2BE0
   185          6  helper_185_0x142FC9D50    0x142FC9D50
   186          6  helper_186_0x142FEFEE0    0x142FEFEE0
   187          6  helper_187_0x143016720    0x143016720
   188          6  helper_188_0x143043870    0x143043870
   189          6  helper_189_0x143065700    0x143065700
   190          6  helper_190_0x143056420    0x143056420
   191          6  helper_191_0x143067130    0x143067130
   192          6  helper_192_0x143075BA0    0x143075BA0
   193          6  helper_193_0x1430DCBF0    0x1430DCBF0
   194          6  helper_194_0x143102B30    0x143102B30
   195          6  helper_195_0x143109110    0x143109110
   196          6  helper_196_0x14315F180    0x14315F180
   197          6  helper_197_0x14319BC40    0x14319BC40
